No,名称,北緯,東経,所在地,竣工年
86,北九州市立美術館,33.8697222,130.8263888,福岡県北九州市,1974年
87,田川文化エリア,33.6436111,130.8055555,福岡県田川市,1991年
88,佐賀県立九州陶磁文化館,33.1791666,129.8805555,佐賀県有田町,1980年
89,島原図書館,32.7880555,130.3677777,長崎県島原市,1986年
90,熊本市水道局庁舎,32.7883333,130.7394444,熊本県熊本市,1963年
91,八代市立博物館未来の森ミュージアム,32.5083333,130.5963888,熊本県八代市,1991年
92,アートプラザ,33.2405555,131.6094444,大分県大分市,1966年
93,大分県庁舎,33.2383333,131.6125,大分県大分市,1962年
94,竹田郵便局,32.9666666,131.395,大分県竹田市,1988年
95,中津市立小幡記念図書館,33.6038888,131.1844444,大分県中津市,1993年
96,宮崎県総合文化公園（図書館・芸術劇場・美術館）,31.9341666,131.4191666,宮崎県宮崎市,図書館1988年/芸術劇場1993年/美術館1994年
97,霧島国際音楽ホール,31.8797222,130.8058333,鹿児島県霧島市,1994年
98,クレインパークいずみ,32.0980555,130.3436111,鹿児島県出水市,1995年
99,沖縄県公文書館,26.2022222,127.7269444,沖縄県南風原町,1995年
100,沖縄コンベンションセンター,26.2805555,127.7327777,沖縄県宜野湾市,1987年
